# RA.769, table 1
# freq0, Delta_f, T_A, T_rx, T_rms, P_nu, Plim, Slim, Slim_nu
13.385, 0.05, 50000, 60, 5000, -222, -185, -201, -248
25.610, 0.12, 15000, 60, 972, -229, -188, -199, -249
73.8, 1.6, 750, 60, 14.3, -247, -195, -196, -258
151.525, 2.95, 150, 60, 2.73, -254, -199, -194, -259
325.3, 6.6, 40, 60, 0.87, -259, -201, -189, -258
408.05, 3.9, 25, 60, 0.96, -259, -203, -189, -255
611, 6.0, 20, 60, 0.73, -260, -202, -185, -253
1413.5, 27, 12, 10, 0.095, -269, -205, -180, -255
1665, 10, 12, 10, 0.16, -267, -207, -181, -251
2695, 10, 12, 10, 0.16, -267, -207, -177, -247
4995, 10, 12, 10, 0.16, -267, -207, -171, -241
10650, 100, 12, 10, 0.049, -272, -202, -160, -240
15375, 50, 15, 15, 0.095, -269, -202, -156, -233
22355, 290, 35, 30, 0.085, -269, -195, -146, -231
23800, 400, 15, 30, 0.050, -271, -195, -147, -233
31550, 500, 18, 65, 0.083, -269, -192, -141, -228
43000, 1000, 25, 65, 0.064, -271, -191, -137, -227
89000, 8000, 12, 30, 0.011, -278, -189, -129, -228
150000, 8000, 14, 30, 0.011, -278, -189, -124, -223
224000, 8000, 20, 43, 0.016, -277, -188, -119, -218
270000, 8000, 25, 50, 0.019, -276, -187, -117, -216
