# RA.769, table 2
# freq0, Delta_f, T_A, T_rx, T_rms, P_nu, Plim, Slim, Slim_nu
327, 10, 40, 60, 22.3, -245, -215, -204, -244
1420, 20, 12, 10, 3.48, -253, -220, -196, -239
1612, 20, 12, 10, 3.48, -253, -220, -194, -238
1665, 20, 12, 10, 3.48, -253, -220, -194, -237
4830, 50, 12, 10, 2.20, -255, -218, -183, -230
14488, 150, 15, 15, 1.73, -256, -214, -169, -221
22200, 250, 35, 30, 2.91, -254, -210, -162, -216
23700, 250, 35, 30, 2.91, -254, -210, -161, -215
43000, 500, 25, 65, 2.84, -254, -207, -153, -210
48000, 500, 30, 65, 3.00, -254, -207, -152, -209
88600, 1000, 12, 30, 0.94, -259, -209, -148, -208
150000, 1000, 14, 30, 0.98, -259, -209, -144, -204
220000, 1000, 20, 43, 1.41, -257, -207, -139, -199
265000, 1000, 25, 50, 1.68, -256, -206, -137, -197
